,https://roic.ai/company/IT,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
68,Total Liabilities And Stockholders Equity,- -,- -,- -,444100000,645300000,832900000,803400000,1002965000,839002000,- -,917264000,861194000,1026617000,1039793000,1133210000,1093065000,1215279000,1285658000,1379872000,1621277000,1783582000,1904351000,2174686000,2367335000,7283173000,6201474000,7151294000,7315967000,7416324000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,444100000,645300000,832900000,803400000,1002965000,839002000,- -,917264000,861194000,1026617000,1039793000,1133210000,1093065000,1215279000,1285658000,1379872000,1621277000,1783582000,1904351000,2174686000,2367335000,7283173000,6201474000,7151294000,7315967000,7416324000
71,SEC Link,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/749251/000095012396007400/0000950123-96-007400-index.html,https://www.sec.gov/Archives/edgar/data/749251/000095012397010331/0000950123-97-010331-index.html,https://www.sec.gov/Archives/edgar/data/749251/000095014698002141/0000950146-98-002141-index.html,- -,https://www.sec.gov/Archives/edgar/data/749251/000095012300011900/0000950123-00-011900-index.html,https://www.sec.gov/Archives/edgar/data/749251/000095012301509621/0000950123-01-509621-index.html,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/749251/000095012306003019/y18453e10vk.htm,https://www.sec.gov/Archives/edgar/data/749251/000095012307003019/y30787e10vk.htm,https://www.sec.gov/Archives/edgar/data/749251/000095012308002262/y46746e10vk.htm,https://www.sec.gov/Archives/edgar/data/749251/000095012309003157/0000950123-09-003157-index.html,https://www.sec.gov/Archives/edgar/data/749251/000095012310014517/0000950123-10-014517-index.html,https://www.sec.gov/Archives/edgar/data/749251/000095012311014318/y88686e10vk.htm,https://www.sec.gov/Archives/edgar/data/749251/000093041312001031/0000930413-12-001031-index.html,https://www.sec.gov/Archives/edgar/data/749251/000093041313001003/0000930413-13-001003-index.html,https://www.sec.gov/Archives/edgar/data/749251/000074925114000007/it-12312013x10k.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/749251/000074925117000005/0000749251-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/749251/000074925118000004/0000749251-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/749251/000074925119000005/0000749251-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/749251/000074925120000008/0000749251-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/749251/000074925121000010/0000749251-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/749251/000074925122000006/0000749251-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,6000000,15000000,25500000,16400000,73100000,88300000,88300000,25546000,-66203000,48578000,23693000,16889000,-2437000,58192000,73553000,103871000,82964000,96285000,136902000,165903000,182801000,183766000,175635000,193582000,3279000,122456000,233290000,266745000,793560000
74,Depreciation and Amortization,6500000,7300000,8100000,12900000,18200000,27300000,31600000,65676000,53240000,44453000,37320000,28337000,37152000,35824000,27752000,27495000,27023000,35874000,32064000,29771000,34442000,39412000,47131000,61969000,240171000,255601000,211779000,218984000,212405000
75,Deferred Income Tax,2200000,-2100000,-700000,-1400000,1600000,900000,6600000,-10474000,-34973000,4066000,-4567000,-8613000,-5644000,6830000,6740000,2617000,5003000,-2609000,-965000,973000,16663000,-759000,344000,-2648000,-217414000,1524000,-55787000,-53190000,-41567000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20696000,26066000,32634000,32865000,36378000,34735000,38845000,46149000,46661000,78943000,66172000,69008000,62540000,98570000
77,Change in Working Capital,-22900000,- -,- -,18800000,- -,34600000,42900000,-137700000,-33071000,-4222000,137037000,-99697000,-139296000,-139201000,1628000,80337000,-102463000,150298000,-25302000,72818000,67493000,-43519000,-63935000,65442000,-116924000,-575219000,-28597000,213357000,140882000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20987000,25349000,-48177000,- -,-38617000,-28097000,-76424000,-44476000,-68661000,-368516000,-115003000,-66729000,99409000,-145346000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37418000,41917000,96629000,82523000,56440000,186811000,55235000,-54613000,111939000,121243000
81,Other Working Capital,- -,- -,- -,18800000,18800000,53400000,96300000,-41400000,-74471000,-78693000,58344000,-41353000,-180649000,-319850000,-318222000,-237885000,-340348000,-190050000,-215352000,-142534000,-75041000,-118560000,-182495000,-117053000,-233977000,-809196000,-837793000,-624436000,199185000
82,Other Non-Cash Items,25900000,14300000,22300000,19000000,-5700000,-53300000,-40600000,132517000,120272000,52677000,-57146000,111285000,137347000,144619000,38662000,-50666000,123344000,-106983000,80002000,-26030000,-20480000,129034000,140237000,626000,266462000,600624000,135743000,194842000,108620000
83,Cash Provided by Operating Activities,17700000,34500000,55200000,65700000,87200000,97800000,128800000,75565000,39265000,145552000,136337000,48201000,27122000,106264000,148335000,184350000,161937000,205499000,255566000,279813000,315654000,346779000,345561000,365632000,254517000,471158000,565436000,903278000,1312470000
84,CAPEX,-2900000,-4100000,-14500000,-15600000,-21500000,-69700000,-89500000,-55895000,-57546000,-19639000,-28928000,-25104000,-22356000,-21113000,-24172000,-24332000,-15142000,-21694000,-41954000,-44337000,-36498000,-38486000,-46128000,-49863000,-110765000,-126873000,-149016000,-83888000,-59834000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-115162000,-12011000,-4537000,- -,-3870000,-161323000,- -,- -,7847000,-104523000,-12151000,- -,- -,- -,-109928000,-170604000,-34186000,-2634809000,510924000,-25989000,- -,-22939000
86,Purchases of Investments,- -,-4100000,-24800000,-4300000,-13200000,-58200000,-14000000,- -,- -,- -,-1960000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,104600000,55516000,14437000,6025000,- -,- -,2059000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14120000,- -,- -
88,Other Investing Activites,-3300000,-4900000,-8200000,-46900000,-49600000,-17300000,- -,15573000,10501000,-1269000,5464000,- -,640000,-688000,36000,30000,- -,- -,- -,-10336000,- -,-14363000,-25625000,- -,- -,- -,- -,- -,2306000
89,Cash Used for Investing Activites,-6200000,-13100000,-47500000,-66800000,-84300000,-145200000,1100000,-99968000,-44619000,-19420000,-25424000,-28974000,-180980000,-21801000,-24136000,-16455000,-119665000,-33845000,-41954000,-54673000,-36498000,-162777000,-242357000,-84049000,-2745574000,384051000,-160885000,-83888000,-80467000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-158551000,-165250000,-313627000,-20156000,-30000000,-205625000,-200000000,-20000000,-835000000,-404438000,-1010972000,-109579000,-2533469000,-112915000
91,Common Stock Issued,500000,56000000,13600000,10600000,56600000,88900000,22800000,13108000,9095000,22166000,41655000,67916000,30960000,46732000,34458000,44702000,14822000,23527000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-15500000,-34800000,- -,- -,- -,-13900000,-345800000,-49877000,-37893000,-47047000,-43434000,-6112000,-15565000,-270704000,-166822000,-200817000,-3744000,-99820000,-211986000,-111304000,-181736000,-432006000,-509049000,-58961000,-41272000,-260832000,-199042000,-176302000,-1655547000
93,Dividends Paid,-2000000,- -,- -,- -,- -,- -,-125000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-400000,-2400000,-5900000,21000000,-12000000,-12100000,249300000,37807000,9936000,-15238000,-1182000,-158973000,54627000,132447000,38669000,194831000,80392000,218364000,45583000,68734000,233506000,423336000,461359000,719275000,2985540000,14689000,22629000,2293547000,610853000
