,https://roic.ai/company/VSAT,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14720000,-215781000,-40000000,-191064000,-271582000,-190000000,-245000000,-205000000,-270000000,-575000000,-732840000,-59691000,-420552000
91,Common Stock Issued,200000,15200000,700000,900000,1176000,75351000,28889000,1550000,4054000,3709000,9883000,14475000,8388000,8242000,123618000,26398000,11890000,- -,- -,- -,- -,503061000,- -,- -,- -,174749000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1034000,-667000,-10326000,-5880000,- -,-8412000,-15588000,-14788000,-16397000,-21670000,-24206000,-28826000,-28802000,-13676000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,800000,100000,- -,-200000,-1151000,-907000,9564000,50000,-9950000,- -,- -,8044000,977000,10346000,534582000,38092000,398972000,322942000,307415000,381252000,370519000,181393000,764982000,1116283000,453678000,409170000
95,Cash Used/Provided by Financing Activities,1000000,15300000,700000,700000,25000,74444000,38453000,1600000,-5896000,3709000,9883000,22519000,8331000,3201000,432093000,18610000,219798000,42948000,101827000,121464000,149122000,392784000,165776000,354617000,365185000,149691000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,-19000,8000,-39000,232000,58000,-174000,384000,370000,-681000,529000,359000,-132000,-26000,128000,-510000,51000,-1067000,1426000,-2494000,-712000,5000
97,Net Change In Cash,1000000,15300000,700000,700000,13515000,-1799000,-11257000,-2353000,14399000,-3931000,22144000,66622000,21831000,-61685000,26140000,-49141000,132093000,-66845000,-47391000,-6084000,-10175000,88010000,-58652000,190255000,42608000,-8360000
98,Cash at the End of Period,- -,- -,- -,- -,19520000,17721000,6464000,4111000,18510000,14579000,36723000,103345000,125176000,63491000,89631000,40490000,172583000,105738000,58347000,52263000,42088000,130098000,71446000,261701000,304309000,295949000
99,Cash at the Beginning of Period,2700000,2300000,12700000,3300000,6005000,19520000,17721000,6464000,4111000,18510000,14579000,36723000,103345000,125176000,63491000,89631000,40490000,172583000,105738000,58347000,52263000,42088000,130098000,71446000,261701000,304309000
100,Free Cash Flow,-1400000,-4900000,-4200000,10900000,-1177000,-18441000,-25988000,3121000,20065000,-7696000,28431000,51289000,22956000,-63280000,-35793000,-54654000,-87573000,-109767000,-146946000,-69662000,-153688000,-174360000,-225854000,-359269000,-324142000,-158056000
