,https://roic.ai/company/PFSW,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
85,Acquisitions Net,- -,- -,- -,- -,- -,501000,- -,- -,- -,-1299000,- -,- -,- -,- -,2327000,- -,- -,-6366000,-31619000,-8359000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-12300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,100000,8358000,3417000,2784000,1744000,-1071000,1143000,893000,145000,117000,- -,- -,- -,- -,- -,- -,- -,- -,65000,54000,159000,4000
89,Cash Used for Investing Activites,- -,- -,-14900000,-10163000,-2125000,1523000,-238000,-8769000,-2775000,-4384000,-3717000,-5637000,-4440000,-3774000,-5223000,-14712000,-7971000,-11811000,-36108000,-17072000,-4587000,-4882000,-3753000,-4192000
90,Debt Repayment,- -,- -,- -,- -,- -,-862000,- -,- -,- -,- -,- -,-1832000,-5322000,-3202000,-1110000,-2125000,-12404000,-5462000,-38408000,-87783000,-104567000,-157804000,-153249000,-105980000
91,Common Stock Issued,- -,- -,- -,53034000,25000,124000,4059000,475000,2076000,4912000,19000,60000,17000,7270000,2015000,48000,15934000,1631000,1483000,1203000,770000,350000,14000,542000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-40000,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,27700000,-29044000,-242000,7037000,-6927000,1773000,39000,-1584000,-3109000,-278000,-77000,208000,4376000,-9962000,126000,-360000,56180000,93579000,89084000,147515000,143832000,105649000
95,Cash Used/Provided by Financing Activities,- -,- -,27700000,23990000,-217000,6299000,-2868000,2248000,2115000,3328000,-3090000,-2050000,-5382000,4276000,5281000,-12079000,3656000,-4191000,19255000,6999000,-14713000,-9939000,-9403000,211000
96,Effect of Forex Changes on Cash,- -,- -,- -,-82000,-111000,-8000,-81000,-93000,-5000,-45000,614000,14000,458000,-355000,52000,137000,279000,-1631000,-1467000,-549000,2902000,-410000,-681000,502000
97,Net Change In Cash,- -,- -,500000,24309000,-2630000,-2074000,6148000,-1151000,91000,1383000,-794000,1778000,-1238000,3618000,-735000,1931000,2792000,-4290000,3653000,2644000,-5347000,-3666000,-2978000,-1683000
98,Cash at the End of Period,- -,- -,600000,24896000,22266000,8595000,14743000,13592000,13683000,15066000,14272000,16050000,14812000,18430000,17695000,19626000,22418000,18128000,21781000,24425000,19078000,15626000,12648000,10965000
99,Cash at the Beginning of Period,- -,- -,100000,587000,24896000,10669000,8595000,14743000,13592000,13683000,15066000,14272000,16050000,14812000,18430000,17695000,19626000,22418000,18128000,21781000,24425000,19292000,15626000,12648000
100,Free Cash Flow,- -,- -,-15000000,-7957000,-5719000,-11650000,7353000,-2235000,-3162000,-1494000,1537000,3697000,3686000,-303000,-8395000,13873000,-1143000,7898000,17484000,4553000,6399000,6629000,6947000,-2400000
101,SEC Link,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1095315/000095013403005023/0000950134-03-005023-index.html,https://www.sec.gov/Archives/edgar/data/1095315/000095013404004345/0000950134-04-004345-index.html,https://www.sec.gov/Archives/edgar/data/1095315/000095013405006568/0000950134-05-006568-index.htm,https://www.sec.gov/Archives/edgar/data/1095315/000095013406006427/0000950134-06-006427-index.htm,https://www.sec.gov/Archives/edgar/data/1095315/000095013407007281/0000950134-07-007281-index.htm,https://www.sec.gov/Archives/edgar/data/1095315/000095013408005735/0000950134-08-005735-index.htm,https://www.sec.gov/Archives/edgar/data/1095315/000095013409006620/0000950134-09-006620-index.htm,https://www.sec.gov/Archives/edgar/data/1095315/000095012310030919/0000950123-10-030919-index.htm,https://www.sec.gov/Archives/edgar/data/1095315/000095012311031470/0000950123-11-031470-index.htm,https://www.sec.gov/Archives/edgar/data/1095315/000119312512144018/0001193125-12-144018-index.htm,https://www.sec.gov/Archives/edgar/data/1095315/000119312513136642/0001193125-13-136642-index.htm,https://www.sec.gov/Archives/edgar/data/1095315/000156459014001224/0001564590-14-001224-index.htm,https://www.sec.gov/Archives/edgar/data/1095315/000156459015001893/0001564590-15-001893-index.htm,https://www.sec.gov/Archives/edgar/data/1095315/000156459016014831/0001564590-16-014831-index.htm,https://www.sec.gov/Archives/edgar/data/1095315/000156459017004610/0001564590-17-004610-index.htm,https://www.sec.gov/Archives/edgar/data/1095315/000156459018006047/0001564590-18-006047-index.htm,https://www.sec.gov/Archives/edgar/data/1095315/000156459019008334/0001564590-19-008334-index.htm,https://www.sec.gov/Archives/edgar/data/1095315/000109531520000020/0001095315-20-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1095315/000109531521000034/0001095315-21-000034-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
