,https://roic.ai/company/ACGL,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,200000000,300000000,300000000,300000000,300000000,400000000,400000000,400000000,400000000,400000000,900000000,891141000,1321740000,2488908000,2549016000,2189210000,2355913000,- -,2724394000
59,Other Liabilities,10800000,80273000,180216000,359828000,517845000,23608000,293332000,1580084000,4074592000,- -,- -,- -,11888456000,- -,800441000,- -,800283000,- -,- -,- -,- -,- -,- -,- -,- -,820242000,34279443000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,10800000,80273000,180216000,359828000,517845000,23608000,293332000,1580084000,3874592000,5976848000,9007909000,10721848000,11588456000,11183580000,11052441000,11257789000,12513283000,12647884000,13918598000,15110409000,16233558000,20266537000,22011645000,21986942000,25625213000,1309137000,31555049000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,388000,388000,373000,- -,130000,130000,130000,130000,325000000,325000000,325000000,325000000,325000000,325000000,1873859000,1362182000,780000000,780000000,780000000,830000000
63,Common Stock,- -,170000,171000,171000,171000,127000,135000,277000,282000,349000,733000,743000,673000,605000,548000,534000,549000,561000,565000,572000,577000,582000,611000,634000,638000,- -,648000
64,Retained Earnings,1000000,5131000,7170000,10261000,-22175000,-30916000,-11610000,47372000,327963000,644862000,901348000,1593907000,2428117000,2693239000,3605809000,4422553000,4833067000,5354361000,6042154000,6854571000,7370371000,7996701000,8562889000,9426299000,11021006000,12362463000,14455868000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,41332000,20829000,36031000,-16994000,51535000,155224000,-255594000,138526000,204503000,153923000,287017000,74964000,128856000,-16502000,-114541000,118044000,-178720000,212091000,488895000,-64600000
66,Other Total Stockholders Equity,339200000,346912000,393690000,387570000,368518000,306107000,1031844000,1321875000,1361267000,1560291000,1595440000,1944304000,1451667000,994585000,578336000,-439587000,-684053000,-798061000,-795187000,-1178946000,-1474565000,-1502883000,-847124000,-588386000,-516364000,1077535000,-1676020000
67,Total Stockholders Equity,340200000,352213000,401031000,398002000,346514000,275318000,1020369000,1411244000,1710729000,2241906000,2480527000,3590619000,4035811000,3432965000,4323349000,4513003000,4628486000,5168878000,5647496000,6130053000,6204881000,8253718000,9196602000,9439827000,11497371000,13105886000,13545896000
68,Total Liabilities And Stockholders Equity,351000000,432486000,581247000,757830000,864359000,298926000,1313701000,2991328000,5585321000,8218754000,11488436000,14312467000,15624267000,14616545000,15375790000,15770792000,17141769000,17816762000,19566094000,21240462000,22438439000,28520255000,31208247000,31426769000,37122584000,14415023000,45100945000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,769081000,738831000,851854000,843411000,791560000,762777000,-11638642000,- -
70,Total Liabilities & Equity,351000000,432486000,581247000,757830000,864359000,298926000,1313701000,2991328000,5585321000,8218754000,11488436000,14312467000,15624267000,14616545000,15375790000,15770792000,17141769000,17816762000,19566094000,22009543000,23177270000,29372109000,32051658000,32218329000,37885361000,2776381000,45100945000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/947484/000104746904007281/a2129737z10-k.htm,https://www.sec.gov/Archives/edgar/data/947484/000104746905006594/a2150753z10-k.htm,https://www.sec.gov/Archives/edgar/data/947484/000110465906016208/a06-4988_110k.htm,https://www.sec.gov/Archives/edgar/data/947484/000110465907015520/a07-5876_110k.htm,- -,https://www.sec.gov/Archives/edgar/data/947484/000104746909002082/0001047469-09-002082-index.html,https://www.sec.gov/Archives/edgar/data/947484/000104746910001560/0001047469-10-001560-index.html,https://www.sec.gov/Archives/edgar/data/947484/000104746911001529/a2202059z10-k.htm,https://www.sec.gov/Archives/edgar/data/947484/000104746912001895/0001047469-12-001895-index.html,https://www.sec.gov/Archives/edgar/data/947484/000104746913002083/0001047469-13-002083-index.html,https://www.sec.gov/Archives/edgar/data/947484/000094748414000006/a201310-k.htm,https://www.sec.gov/Archives/edgar/data/947484/000094748415000010/a201410-k.htm,https://www.sec.gov/Archives/edgar/data/947484/000094748416000043/0000947484-16-000043-index.html,https://www.sec.gov/Archives/edgar/data/947484/000094748417000015/0000947484-17-000015-index.html,https://www.sec.gov/Archives/edgar/data/947484/000094748418000012/0000947484-18-000012-index.html,https://www.sec.gov/Archives/edgar/data/947484/000094748419000008/0000947484-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/947484/000094748420000012/0000947484-20-000012-index.html,https://www.sec.gov/Archives/edgar/data/947484/000094748421000028/0000947484-21-000028-index.htm,https://www.sec.gov/Archives/edgar/data/947484/000094748422000015/0000947484-22-000015-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1000000,4112000,2039000,3091000,-32436000,-8741000,22016000,58982000,280591000,316899000,256486000,713214000,857943000,290966000,876945000,842588000,436358000,593397000,709731000,834355000,537738000,692738000,619278000,757971000,1636319000,1465711000,2156849000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,125778000,105670000,82104000,69031000,82955000
75,Deferred Income Tax,-200000,-1897000,-2202000,-7889000,-10327000,6855000,1665000,-8099000,-15488000,-24416000,-9075000,8274000,-5401000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30277000,27042000,31065000,30986000,42303000,49237000,54789000,56096000,56581000,67798000,55776000,66417000,71262000,87094000
77,Change in Working Capital,6000000,- -,- -,- -,- -,- -,- -,2962461000,2586978000,-3024351000,-11233088000,-1714000000,10422000000,-10784000000,132000000,12278079000,-884768000,761843000,-3762397000,4040002000,-51698000,1276484000,269875000,-173722000,-226582000,-1280493000,1909461000
78,Accounts Receivable,- -,-23700000,-23800000,-41100000,-30700000,8602000,-4954000,266138000,379345000,-117730000,-157154000,-32906000,32047000,8031000,44438000,83380000,-7226000,-120380000,-60224000,-217035000,-26783000,-71613000,-31405000,-211296000,-237752000,-318643000,-685214000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,3000000,1800000,87000000,158500000,130400000,10046000,-6304000,447692000,142120000,245193000,1363339000,970832000,554743000,- -,- -,-18978000,5515000,42740000,6830000,26699000,-5885000,31542000,8529000,73438000,182132000,65950000,500065000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,2962461000,5549439000,2525088000,-8708000000,-10422000000,- -,-10784000000,-10652000000,1626079000,741311000,1503154000,-2259243000,1780759000,1729061000,3005545000,3275420000,3101698000,2875116000,1594623000,-340376000
82,Other Non-Cash Items,-6900000,28774000,49201000,73304000,50309000,4515000,-29310000,-2344292000,-1239537000,4518305000,12437698000,2601468000,-9838086000,11601855000,-43340000,-12349658000,1283536000,-475940000,3854297000,-3892016000,455770000,-629159000,29888000,813627000,490201000,2560994000,-808804000
83,Cash Provided by Operating Activities,-100000,30989000,49038000,68506000,7546000,2629000,-5629000,669052000,1612544000,1786437000,1452021000,1608956000,1436456000,1139098000,992647000,802074000,866112000,921603000,850868000,1037130000,997906000,1396644000,1112617000,1559322000,2048459000,2886505000,3427555000
84,CAPEX,-100000,-2859000,-910000,-252000,-338000,- -,-6311000,-17710000,-31489000,-15455000,-13668000,-13240000,-27996000,-9501000,-19483000,-11664000,-18987000,-18532000,-17499000,-19883000,-15736000,-15303000,-22841000,-29809000,-37837000,-39872000,-41394000
85,Acquisitions Net,- -,- -,- -,- -,- -,-1275000,-34648000,-4829000,-11774000,33069000,- -,- -,- -,- -,- -,- -,- -,28948000,- -,-237106000,40818000,-1992720000,-27709000,- -,- -,- -,-753916000
86,Purchases of Investments,-379200000,-343119000,-335133000,-423157000,-414226000,-321194000,-925484000,-1253637000,-4738500000,-6470687000,-11311872000,-15969844000,-20997547000,-18288250000,-21531213000,-18026424000,-14882521000,-18837640000,-20788187000,-31523577000,-31721867000,-37728396000,-39877116000,-35857958000,-32296456000,-44198695000,-38526506000
87,Sales/Maturities of Investments,44800000,315261000,294529000,357592000,456124000,318318000,230048000,466536000,2929217000,4441187000,10804824000,15724839000,20052813000,17605943000,20886524000,18054185000,14363088000,18425066000,19553816000,30217675000,30826565000,37216029000,38444660000,35131128000,30938489000,41176328000,38055150000
