,https://roic.ai/company/NHTC,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/912061/000095013405006593/d23901e10vk.htm,https://www.sec.gov/Archives/edgar/data/912061/000095013406013790/d38059e10vk.htm,https://www.sec.gov/Archives/edgar/data/912061/000095013407006821/d45036e10vk.htm,https://www.sec.gov/Archives/edgar/data/912061/000095013408005706/d55366e10vk.htm,https://www.sec.gov/Archives/edgar/data/912061/000136231009004213/0001362310-09-004213-index.html,- -,https://www.sec.gov/Archives/edgar/data/912061/000143774911008593/nhtc_10k-123110.htm,https://www.sec.gov/Archives/edgar/data/912061/000143774912002813/0001437749-12-002813-index.html,https://www.sec.gov/Archives/edgar/data/912061/000143774913002702/0001437749-13-002702-index.html,https://www.sec.gov/Archives/edgar/data/912061/000143774914003670/nhtc20131231_10k.htm,https://www.sec.gov/Archives/edgar/data/912061/000143774915004253/nhtc20141231_10k.htm,https://www.sec.gov/Archives/edgar/data/912061/000091206116000018/0000912061-16-000018-index.html,https://www.sec.gov/Archives/edgar/data/912061/000091206117000012/0000912061-17-000012-index.html,https://www.sec.gov/Archives/edgar/data/912061/000091206118000015/0000912061-18-000015-index.html,https://www.sec.gov/Archives/edgar/data/912061/000091206119000029/nhtc2018123110k.htm,https://www.sec.gov/Archives/edgar/data/912061/000091206120000014/0000912061-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/912061/000143774921004259/0001437749-21-004259-index.htm,https://www.sec.gov/Archives/edgar/data/912061/000143774922004467/0001437749-22-004467-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-889539,-7725120,-1288012,-7253290,-10669299,1202123,4102020,5378540,1241000,-5502000,-11460000,-25287000,-3864000,-6342000,-2448000,2305000,2630000,4089000,20370000,47241000,55086000,23578000,31035000,-5611000,843000,1085000
74,Depreciation and Amortization,244571,567670,549668,374154,364400,90578,469698,531944,1296000,1474000,2110000,1850000,1456000,1319000,1213000,298000,45000,66000,105000,263000,394000,536000,424000,387000,410000,299000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,-515000,515000,-215000,7000,526000,-144000,-28000,-30000,-56000,16000,-43000,-15000,217000,-1644000,358000,-820000,1339000,362000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,554000,528000,175000,79000,94000,110000,49000,86000,104000,35000,- -,- -,- -,- -
77,Change in Working Capital,-179106,-5616083,2900868,-4438321,590226,2342958,4273131,3087577,13680163,-6223000,-10258000,-4232000,-867000,-489000,-1069000,2517000,2629000,3893000,21768000,30951000,27951000,25232000,-2219000,-25030000,-3838000,-1893000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,293000,-66000,38000,10000,-24000,-17000,- -,41000,- -,- -,- -,- -,- -,- -
79,Inventory,-130295,-271235,405359,253033,863065,-727692,-1996363,-426679,-10366000,-3702000,7067000,2312000,1328000,1138000,270000,-345000,236000,-974000,-2029000,-6762000,-851000,2843000,-3879000,5820000,2700000,-1547000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-424000,- -,- -,- -,-826000,1673000,-822000,637000,-714000,-392000,-116000,-953000,-102000,182000
