,https://roic.ai/company/TBI,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
89,Cash Used for Investing Activites,-2471001,-11000000,-4900000,-9200000,-14200000,-18336000,-34276000,-85993000,- -,-19835000,-115899000,-1810000,-6327000,-25435000,-16748000,-3403000,-26938000,-26151000,-125265000,-318437000,-105026000,- -,-30897000,-20515000,-21631000,-34411000,-16220000
90,Debt Repayment,-552074,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-250000,-394000,-382000,-302000,- -,-8681000,-2267000,-2078000,- -,-18874000,-22397000,-42900000,-37100000,- -
91,Common Stock Issued,1896098,34400000,700000,2500000,5000000,2257000,1353000,2895000,- -,7370000,8649000,5293000,4715000,3488000,1062000,1054000,- -,4164000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-1400000,-1900000,-1400000,-11678000,-3065000,-3692000,- -,- -,- -,-88744000,-150310000,-15997000,- -,- -,-58708000,-6540000,- -,- -,-3869000,- -,-36680000,-34818000,-38826000,-52346000,-19916000
93,Dividends Paid,-42704,- -,- -,-100000,- -,-66000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,9658650,-4000000,-1200000,-600000,5700000,8007000,-7912000,64914000,- -,-6947000,-2327000,2315000,542000,-1247000,-1876000,-1439000,1795000,-3797000,41049000,172049000,48733000,- -,-19781000,-17801000,-1189000,-3056000,790000
95,Cash Used/Provided by Financing Activities,10959970,30400000,-1900000,-100000,9300000,-1480000,-9624000,64117000,- -,423000,6322000,-81136000,-145053000,-14006000,-1208000,-767000,-57215000,-6173000,32368000,169782000,42786000,- -,-75335000,-75016000,-82915000,-92502000,-19126000
96,Effect of Forex Changes on Cash,-25854,- -,- -,-200000,- -,-99000,-227000,532000,- -,1396000,-1265000,584000,1790000,-1903000,626000,973000,-278000,203000,-681000,-1207000,283000,- -,191000,-1542000,936000,623000,-521000
97,Net Change In Cash,4755136,30400000,-1900000,-100000,-9100000,19203000,12817000,20390000,- -,45705000,-5400000,25789000,-50936000,51094000,16275000,38776000,-53842000,20202000,-7510000,-102337000,10115000,- -,-6190000,28619000,-10079000,26241000,-15427000
98,Cash at the End of Period,5359113,- -,- -,- -,16800000,36048000,48865000,69255000,- -,128817000,82155000,107944000,57008000,108102000,124377000,163153000,109311000,129513000,122003000,19666000,29781000,- -,28780000,102450000,92371000,118612000,103185000
99,Cash at the Beginning of Period,603977,5400000,17600000,22100000,25900000,16845000,36048000,48865000,- -,83112000,87555000,82155000,107944000,57008000,108102000,124377000,163153000,109311000,129513000,122003000,19666000,- -,34970000,73831000,102450000,92371000,118612000
100,Free Cash Flow,-6178980,-12800000,7300000,3900000,-16500000,20697000,50407000,39218000,- -,58474000,100182000,95144000,77614000,66301000,20452000,34923000,20882000,34497000,73065000,30607000,53678000,- -,77893000,108638000,65412000,125465000,-14566000
