,https://roic.ai/company/ATSG,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
58,Total Non-Current Liabilities,- -,- -,- -,808440000,241300000,242405000,240695000,415310000,766852000,762550000,572075000,474345000,615985000,636839000,564041000,572440000,551300000,771643000,968893000,1805013000,2096597000,1844260000,1632327000
59,Other Liabilities,913318000,1084205000,996624000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43191000,68912000,63170000
61,Total Liabilities,913318000,1084205000,996624000,941686000,354440000,384974000,402964000,559588000,962964000,1020957000,756791000,598577000,723572000,736355000,664171000,684140000,678106000,927428000,1153565000,2034147000,2359836000,2146248000,1944958000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,521000,583000,583000,584000,585000,626000,632000,634000,637000,640000,641000,646000,649000,641000,595000,591000,591000,593000,596000,741000
64,Retained Earnings,- -,- -,- -,237070000,-365175000,-328202000,-297890000,-207836000,-189544000,-245534000,-211085000,-171251000,-148059000,-107185000,-126813000,-96953000,-55731000,-32243000,-13748000,56051000,45895000,78010000,309430000
65,Other Comprehensive Income/Loss,- -,- -,- -,-5679000,-5379000,-13069000,-18953000,-103610000,-69170000,-134861000,-46389000,-46234000,-103047000,-117287000,-29818000,-82876000,-99012000,-79866000,-63020000,-91362000,-61866000,-78656000,-62080000
66,Other Total Stockholders Equity,184918000,211895000,223999000,410000,428637000,428637000,429338000,431071000,458091000,460155000,502822000,518925000,520613000,523087000,524953000,526669000,518259000,443416000,471456000,471158000,475720000,855547000,1074286000
67,Total Stockholders Equity,184918000,211895000,223999000,232322000,58666000,87949000,113079000,120210000,200003000,80392000,245982000,302077000,270147000,299256000,368968000,347489000,364157000,331902000,395279000,436438000,460342000,855497000,1322377000
68,Total Liabilities And Stockholders Equity,1098236000,1296100000,1220623000,1174008000,413106000,472923000,516043000,679798000,1162967000,1101349000,1002773000,900654000,993719000,1035611000,1033139000,1031629000,1042263000,1259330000,1548844000,2470585000,2820178000,3001745000,3267335000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1098236000,1296100000,1220623000,1174008000,413106000,472923000,516043000,679798000,1162967000,1101349000,1002773000,900654000,993719000,1035611000,1033139000,1031629000,1042263000,1259330000,1548844000,2470585000,2820178000,3001745000,3267335000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/894081/000119312504049003/0001193125-04-049003-index.htm,https://www.sec.gov/Archives/edgar/data/894081/000119312505052926/0001193125-05-052926-index.htm,https://www.sec.gov/Archives/edgar/data/894081/000119312506056878/0001193125-06-056878-index.htm,https://www.sec.gov/Archives/edgar/data/894081/000119312507057224/0001193125-07-057224-index.htm,https://www.sec.gov/Archives/edgar/data/894081/000119312508059080/0001193125-08-059080-index.htm,https://www.sec.gov/Archives/edgar/data/894081/000119312509061133/0001193125-09-061133-index.htm,https://www.sec.gov/Archives/edgar/data/894081/000119312510073553/0001193125-10-073553-index.htm,https://www.sec.gov/Archives/edgar/data/894081/000089408111000006/0000894081-11-000006-index.htm,https://www.sec.gov/Archives/edgar/data/894081/000089408112000010/0000894081-12-000010-index.htm,https://www.sec.gov/Archives/edgar/data/894081/000089408113000015/0000894081-13-000015-index.htm,https://www.sec.gov/Archives/edgar/data/894081/000089408114000037/0000894081-14-000037-index.htm,https://www.sec.gov/Archives/edgar/data/894081/000089408115000056/0000894081-15-000056-index.htm,https://www.sec.gov/Archives/edgar/data/894081/000089408116000225/0000894081-16-000225-index.htm,https://www.sec.gov/Archives/edgar/data/894081/000089408117000036/0000894081-17-000036-index.htm,https://www.sec.gov/Archives/edgar/data/894081/000089408118000040/0000894081-18-000040-index.htm,https://www.sec.gov/Archives/edgar/data/894081/000089408119000040/0000894081-19-000040-index.htm,https://www.sec.gov/Archives/edgar/data/894081/000089408120000039/0000894081-20-000039-index.htm,https://www.sec.gov/Archives/edgar/data/894081/000089408121000045/0000894081-21-000045-index.htm,https://www.sec.gov/Archives/edgar/data/894081/000089408122000034/0000894081-22-000034-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,13286000,-446901000,36973000,30312000,90054000,19587000,-55990000,34449000,39834000,23192000,40874000,-19628000,29860000,41222000,23488000,18495000,69285000,61202000,32115000,231420000
74,Depreciation and Amortization,- -,- -,- -,147993000,98503000,36817000,41167000,45660000,51747000,94451000,84587000,87594000,91063000,84477000,91749000,108254000,125443000,140002000,170751000,204559000,285353000,310317000,- -
75,Deferred Income Tax,- -,- -,- -,11063000,-134738000,- -,- -,- -,13589000,9790000,19743000,20820000,17126000,23749000,18772000,17757000,23691000,13807000,-30771000,18986000,10478000,18492000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3231000,2732000,2924000,2454000,3165000,3632000,5047000,7002000,7477000,- -
77,Change in Working Capital,- -,- -,- -,10593000,46929000,-8394000,-10275000,23715000,41722000,-33089000,70246000,-67368000,31861000,-20681000,14965000,-14127000,-30921000,2368000,22963000,30256000,-26535000,-32804000,- -
78,Accounts Receivable,- -,- -,- -,- -,-3293000,-49195000,38901000,5411000,-30910000,-32518000,4436000,41529000,1980000,-4328000,-4994000,9582000,-14410000,-9597000,-31313000,25380000,-14551000,9359000,- -
79,Inventory,- -,- -,- -,1258000,2082000,-899000,-3929000,-2636000,-2995000,9583000,8241000,-6253000,-13000,-1759000,-900000,-4164000,-3896000,-5269000,-4107000,-3273000,-6493000,-27825000,- -
80,Accounts Payable,- -,- -,- -,- -,-7925000,19280000,4871000,-46284000,5093000,-29888000,1871000,2729000,-1715000,-5688000,2012000,-803000,4424000,5603000,23500000,10724000,3340000,5584000,- -
81,Other Working Capital,- -,- -,- -,-70083000,-23154000,-31548000,-41823000,-18108000,23614000,-9475000,60771000,-6597000,25264000,4583000,19548000,5421000,-25500000,-23132000,-169000,30087000,3552000,-29252000,- -
82,Other Non-Cash Items,- -,- -,- -,-5218000,537640000,-8222000,57907000,-105011000,-31139000,146489000,-106041000,31383000,-27136000,-21017000,-14179000,4117000,11810000,10262000,49922000,-30108000,59438000,176705000,352137000
83,Cash Provided by Operating Activities,- -,- -,- -,177717000,101433000,57174000,119111000,54418000,95506000,161651000,102984000,112263000,136106000,110633000,94411000,148785000,173699000,193092000,234992000,298025000,396938000,512302000,583557000
84,CAPEX,- -,- -,- -,-98401000,-88524000,-73668000,-60685000,-89003000,-160166000,-111877000,-101227000,-110681000,-213083000,-155243000,-112712000,-112184000,-158714000,-264477000,-296939000,-292915000,-453502000,-510417000,-504748000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-296918000,-3840000,- -,- -,- -,- -,- -,-15000000,- -,-17395000,-11792000,-866558000,-24360000,-13333000,-2155000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-24362000,-17909000,-30180000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,4250000,17151000,19934000,49610000,26000,- -,1750000,- -,- -,- -,- -,- -,9975000,- -,- -,- -,- -
