,https://roic.ai/company/D,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,257000000,257000000,257000000,257000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2387000000,2387000000,1783000000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,3157600000,3303500000,3471400000,3673600000,3933400000,3561000000,5979000000,7129000000,9051000000,10052000000,10888000000,11286000000,- -,- -,- -,- -,- -,- -,5493000000,5783000000,5876000000,6680000000,8550000000,9865000000,12588000000,23824000000,21258000000,21610000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,1455200000,1427600000,1437900000,1354000000,1386400000,1190000000,1028000000,922000000,1561000000,1054000000,1442000000,1550000000,1960000000,3510000000,4170000000,4686000000,6418000000,6697000000,5790000000,6183000000,6095000000,6458000000,6854000000,7936000000,9219000000,7576000000,4189000000,5373000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5170000000,-5655100000,-6306400000,-6986600000,-7469400000,-7882000000,-13162000000,-14424000000,-446000000,-629000000,-996000000,-2564000000,-425000000,-12000000,-269000000,-211000000,-330000000,-610000000,-877000000,-324000000,-416000000,-474000000,-799000000,-659000000,-1700000000,-1793000000,-1717000000,-1458000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,5959400000,6490000000,7145500000,8476400000,8850400000,8491000000,13657000000,15125000000,47000000,61000000,92000000,125000000,11401000000,5936000000,6176000000,6710000000,5909000000,5416000000,162000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,5402200000,5566000000,5748400000,6517400000,6700800000,5360000000,7502000000,8752000000,10470000000,10795000000,11683000000,10654000000,12913000000,9406000000,10077000000,11185000000,11997000000,11446000000,10568000000,11642000000,11555000000,12664000000,14605000000,17142000000,20107000000,31994000000,26117000000,27308000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,13562200000,13903300000,14905600000,20192700000,17517000000,17747000000,29348000000,34369000000,37909000000,44186000000,45446000000,52660000000,49246000000,39095000000,42053000000,42554000000,42817000000,45557000000,46781000000,50096000000,53925000000,57859000000,69375000000,74357000000,75973000000,101784000000,95561000000,99590000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23000000,28000000,- -,- -,- -,57000000,57000000,- -,402000000,938000000,2235000000,2228000000,1941000000,2039000000,344000000,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,13562200000,13903300000,14905600000,20192700000,17517000000,17747000000,29348000000,34369000000,37909000000,44186000000,45446000000,52660000000,49269000000,39123000000,42053000000,42554000000,42817000000,45614000000,46838000000,50096000000,54327000000,58797000000,71610000000,76585000000,77914000000,103823000000,95905000000,99590000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/103682/000091664198000263/0000916641-98-000263-index.html,https://www.sec.gov/Archives/edgar/data/103682/000091664199000124/0000916641-99-000124-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/715957/000091664102000388/d10k.htm,https://www.sec.gov/Archives/edgar/data/103682/000092838503000726/0000928385-03-000726-index.html,https://www.sec.gov/Archives/edgar/data/103682/000119312504031558/0001193125-04-031558-index.html,https://www.sec.gov/Archives/edgar/data/103682/000119312505038710/0001193125-05-038710-index.html,https://www.sec.gov/Archives/edgar/data/715957/000119312506043336/d10k.htm,https://www.sec.gov/Archives/edgar/data/715957/000119312507042607/d10k.htm,https://www.sec.gov/Archives/edgar/data/715957/000119312508041046/d10k.htm,https://www.sec.gov/Archives/edgar/data/103682/000119312509039125/0001193125-09-039125-index.html,https://www.sec.gov/Archives/edgar/data/103682/000119312510042883/0001193125-10-042883-index.html,https://www.sec.gov/Archives/edgar/data/715957/000119312511049905/d10k.htm,https://www.sec.gov/Archives/edgar/data/103682/000119312512085811/0001193125-12-085811-index.html,https://www.sec.gov/Archives/edgar/data/103682/000119312513082933/0001193125-13-082933-index.html,https://www.sec.gov/Archives/edgar/data/715957/000119312514073496/d660169d10k.htm,https://www.sec.gov/Archives/edgar/data/715957/000119312515067777/d856078d10k.htm,https://www.sec.gov/Archives/edgar/data/103682/000119312516480850/0001193125-16-480850-index.html,https://www.sec.gov/Archives/edgar/data/103682/000119312517060413/0001193125-17-060413-index.html,https://www.sec.gov/Archives/edgar/data/103682/000119312518059578/0001193125-18-059578-index.html,https://www.sec.gov/Archives/edgar/data/103682/000119312519057924/0001193125-19-057924-index.html,https://www.sec.gov/Archives/edgar/data/103682/000119312520054469/0001193125-20-054469-index.html,https://www.sec.gov/Archives/edgar/data/715957/000156459021008442/0001564590-21-008442-index.htm,https://www.sec.gov/Archives/edgar/data/715957/000156459022006589/0001564590-22-006589-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
