,https://roic.ai/company/SBAC,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
88,Other Investing Activites,- -,- -,- -,- -,5369000,173718000,10331000,1323000,-5277000,-1947000,-37095000,-40093000,-67235000,-126819000,-116396000,-165819000,-174905000,-214719000,-152112000,-163791000,-160425000,-160045000,-125449000,-165556000
89,Cash Used for Investing Activites,-138100000,-208900000,-445280127,-530273000,-98010000,155456000,1326000,-99283000,-739876000,-301884000,-580549000,-229075000,-425039000,-507888000,-2275051000,-826522000,-1760127000,-734521000,-428235000,-605107000,-618347000,-947158000,-446366000,-1423260000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-525427000,-1196147000,-1009777000,-290434000,-1543696000,-1531997000,-2534026000,-1085000000,-2099860000,-1505000000,-3537000000,-1534000000,-2988143000,-4395909000
91,Common Stock Issued,500000,94400000,469407711,3250000,329000,31000,2126000,4686000,10491000,35011000,6503000,7045000,16133000,15801000,283872000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-32800000,- -,- -,- -,-296925000,- -,- -,-707000,-91236000,-120000000,-51720000,-107426000,-225072000,- -,- -,- -,-450073000,-545689000,-854534000,-795581000,-466982000,-859335000,-582578000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-83387000,-207689000,-253580000
94,Other Financing Activites,150800000,100500000,-59794785,512947000,143364000,118443000,43621000,21137000,654346000,259299000,1054361000,1329800000,1227891000,741752000,3376236000,1752158000,3525864000,1624010000,2356992000,2064960000,4184044000,2022055000,3586150000,5571331000
95,Cash Used/Provided by Financing Activities,151300000,162100000,409612926,516197000,143693000,-178451000,45747000,25823000,664130000,203074000,415437000,88978000,126821000,242047000,2116412000,220161000,991838000,88937000,-288557000,-294574000,-148537000,-62314000,-469017000,339264000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-155000,1212000,-2213000,13977000,-12993000,13618000,-464000,-9729000,2247000,-8962000,-13082000
97,Net Change In Cash,151300000,-23600000,11849134,-1076000,47237000,-52803000,61289000,-23693000,214000,24124000,8584000,82461000,-97063000,-16938000,185783000,-110987000,-82669000,78596000,39351000,-81675000,74005000,-37180000,201688000,92818000
98,Cash at the End of Period,- -,3100000,14980046,13904000,61141000,8338000,69627000,45934000,46148000,70272000,78856000,161317000,64254000,47316000,233099000,122112000,39443000,118039000,185970000,104295000,178300000,141120000,342808000,435626000
99,Cash at the Beginning of Period,6100000,26700000,3130912,14980000,13904000,61141000,8338000,69627000,45934000,46148000,70272000,78856000,161317000,64254000,47316000,233099000,122112000,39443000,146619000,185970000,104295000,178300000,141120000,342808000
100,Free Cash Flow,-130600000,-185800000,47516335,13000000,-101825000,-44944000,7002000,30119000,46991000,95163000,137530000,175815000,134537000,122120000,229945000,328694000,460392000,528466000,602543000,671426000,700806000,815809000,997467000,1056202000
