,https://roic.ai/company/SBOW,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
56,Deferred Tax Liabilities,1600000,2400000,4300000,5700000,7600000,10500000,11400000,11000000,12300000,4500000,7000000,15300000,25400000,- -,10200000,41178590,27589650,30776518,43498682,73106580,129306891,224966598,302303000,130899000,123577000,160024000,206567000,223243000,217384000,86376000,- -,- -,- -,1014000,1582000,303000,- -
57,Other Non-Current Liabilities,200000,200000,200000,200000,- -,500000,400000,12000000,9700000,8000000,6100000,4400000,2900000,1600000,500000,- -,- -,- -,10137473,17176136,19366550,35422900,33533000,51313000,57288000,71923000,77824000,89544000,73549000,69140000,127051000,24120000,16990000,7679000,8481000,8854000,- -
58,Total Non-Current Liabilities,1800000,2600000,4500000,5900000,7600000,11000000,11800000,23000000,50800000,41300000,41900000,134700000,151200000,262800000,249800000,175908075,285786778,355048491,393890938,447782716,498673441,641789498,922836000,762912000,652262000,703571000,1004166000,1229721000,1433301000,1230050000,1044669000,222120000,282315000,396681000,482963000,434062000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,405585000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9520000,4424000,16312000
61,Total Liabilities,9400000,9100000,12800000,15700000,57000000,82500000,62700000,50900000,106400000,93600000,82000000,167600000,179700000,294200000,283900000,240232846,359032113,401932675,463663668,516401007,597094455,787764786,1132997000,916411000,755866000,866358000,1215960000,1407201000,1610377000,1378969000,1377722000,301244000,357812000,502693000,564109000,492102000,526922000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,254521,256346,278116,280111,285706,294590,301700,306000,313000,379000,424000,430000,435000,439000,444000,448000,101000,116000,118000,119000,121000,168000
64,Retained Earnings,2700000,3800000,7800000,12500000,18200000,25400000,27900000,32000000,36900000,17200000,22100000,41100000,20400000,-27900000,-8600000,50604110,28256345,40179572,70073384,138524301,254302757,415868097,436178000,175688000,136358000,182652000,281473000,302412000,283380000,31817000,-1627039000,-156288000,-84317000,-9702000,104954000,-204428000,- -
65,Other Comprehensive Income/Loss,-600000,-1200000,-2500000,-4400000,-6500000,-10000000,-13800000,-18600000,-25800000,-21400000,-30200000,-46700000,-70700000,-200700000,-243000000,-290725112,-448139334,-504323773,-567464334,-649185874,-755699056,-921696714,-989981000,- -,-2214146000,-2378262000,-2599079000,-2847773000,-3174453000,-3839118000,-5577854000,-169879000,-216769000,-284804000,-380728000,- -,- -
