,https://roic.ai/company/RS,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,- -,- -,136800000,213300000,291200000,273000000,347659000,379991000,389620000,341762000,444449000,513529000,1124650000,1121539000,1652207000,973335000,1192302000,1698300000,1699200000,2165500000,2458300000,1564500000,2032500000,2347600000,2585900000,2334900000,2499800000,- -
82,Other Non-Cash Items,-1100000,-16100000,13300000,-140200000,-85400000,-113900000,66600000,-140837000,4724000,18825000,75272000,-198000000,-47870000,-842284000,142205000,-482594000,1281280000,-379894000,-742198000,20200000,-376100000,-526700000,1384600000,-391700000,-588700000,-459000000,548000000,383200000,18900000
83,Cash Provided by Operating Activities,4400000,2900000,39400000,36400000,39800000,30900000,131400000,24464000,103587000,90744000,106414000,121768000,272219000,190964000,638964000,664684000,942996000,214087000,234800000,601900000,633300000,356000000,1025000000,626500000,399000000,664600000,1301500000,1173000000,799400000
84,CAPEX,-10100000,-9500000,-7900000,-21400000,-107100000,-176100000,-112500000,-30379000,-24539000,-18658000,-20909000,-35982000,-53740000,-108742000,-124127000,-151890000,-69901000,-111356000,-156400000,-214000000,-168000000,-190400000,-172200000,-154900000,-161600000,-239900000,-242200000,-172000000,-236600000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-41147000,-129677000,-53321000,-245850000,- -,-94377000,-542604000,-269957000,-330249000,- -,-100325000,-313300000,-166900000,-821100000,-182000000,-400000,-348700000,-37800000,-77600000,-177800000,-6900000,-439300000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3096000,- -,- -,-31544000,- -,-8500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6524000,6576000,46738000,3600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-2500000,-13500000,-93400000,8600000,3700000,18500000,3277000,8513000,3742000,3020000,-13667000,1485000,4008000,-25724000,17961000,1284000,3160000,- -,-800000,10100000,7400000,2700000,-1500000,20000000,36500000,900000,-9500000,23600000
89,Cash Used for Investing Activites,-10100000,-12000000,-21400000,-114800000,-98500000,-172400000,-94000000,-68249000,-145703000,-68237000,-263739000,-49649000,-146632000,-650434000,-419808000,-457654000,-93585000,-161783000,-474600000,-381700000,-979000000,-365000000,-169900000,-505100000,-179400000,-281000000,-419100000,-188400000,-652300000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1798602000,-1188454000,-560580000,-606600000,-763000000,-1454500000,-552200000,-962300000,-2061400000,-915300000,-1192200000,-1588600000,-1615400000,-20700000
