,https://roic.ai/company/ARMP,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
73,Net Income,-8400000,-9900000,-26000000,-14200000,-8700000,-26700000,-47655691,-27170000,-23767000,-14833000,-14257000,-19198000,-33990000,-16127000,-20720000,- -,- -,-3790000,-1110000,-58411000,23109000,-516000,-18838000,-12838000,-12110000,-19479000,-22181000,-23155000
74,Depreciation and Amortization,1300000,1400000,1900000,1600000,1600000,1600000,3460617,8692000,3617000,2420000,1289000,1319000,720000,602000,516000,- -,- -,80000,91000,82000,158000,330000,369000,374000,389000,1351000,1114000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-73000,-556000,-1302000,-328000,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,718000,- -,- -,- -,9000,1437000,1936000,483000,1995000,700000,478000,4271000,3475000,- -
77,Change in Working Capital,2700000,3200000,-13400000,6500000,-4400000,24799288,-11638288,-14915000,11977000,16235000,-20601000,-7510000,11592000,-12960000,2711000,- -,- -,-4280000,-4509000,22786000,-13235000,2479000,-4856000,642000,2419000,-4060000,2365000,6040000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2294000,- -,- -,- -,99000,15000,-92000,-25000,100000,- -,- -,- -,-467000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1374000,- -,- -
81,Other Working Capital,12800000,16000000,2600000,9100000,4700000,29499288,17861000,2946000,14923000,31158000,10557000,3047000,14639000,1679000,4390000,- -,- -,110000,-4399000,18387000,5152000,7631000,2775000,3417000,5836000,1776000,4141000,10181000
82,Other Non-Cash Items,-2800000,-3200000,27100000,-6400000,5700000,-10299288,55227818,9850000,-11923000,-15052000,18046000,8998000,10042000,14603000,6470000,- -,- -,3320000,1238000,26658000,-24540000,-12484000,11297000,3232000,-230000,2335000,-3043000,17115000
83,Cash Provided by Operating Activities,-7200000,-8500000,-10400000,-12500000,-5800000,-10600000,-605544,-23543000,-20096000,-11230000,-15523000,-16391000,-11636000,-13882000,-10305000,- -,- -,-4670000,-4281000,-7448000,-12572000,-9781000,-10589000,-9192000,-9382000,-15582000,-18270000,- -
84,CAPEX,-900000,-1300000,-1500000,-700000,-200000,-1900000,-2796979,-4411000,-563000,-316000,-408000,-669000,-81000,-554000,-738000,- -,- -,-110000,-53000,-102000,-1202000,-210000,-279000,-58000,-44000,-224000,-824000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,358892,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3008000,- -,- -
86,Purchases of Investments,-13000000,-13000000,-23600000,-800000,-17700000,-500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,20400000,12100000,11700000,7400000,3023934,- -,- -,- -,- -,57000,49000,16000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,9200000,10000000,1400000,- -,- -,100000,-2807110,-2805000,-1926000,- -,- -,- -,- -,24000,76000,- -,- -,- -,3150000,- -,- -,- -,- -,- -,- -,93000,- -,- -
89,Cash Used for Investing Activites,-4700000,-4300000,-3300000,10600000,-6200000,5100000,-2221263,-7216000,-2489000,-316000,-408000,-612000,-32000,-514000,-662000,- -,- -,-110000,3097000,-102000,-1202000,-210000,-279000,-58000,-44000,2877000,-824000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-259000,- -,- -,- -,- -,- -,- -,- -,-117000,-815000,- -,- -,- -,- -
91,Common Stock Issued,11500000,13400000,15000000,300000,14100000,6500000,- -,3059000,4014000,21028000,29790000,28000,4902000,25995000,- -,- -,- -,- -,- -,18002000,- -,- -,7579000,9356000,12248000,9975000,22893000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-80000,- -,- -,- -,- -,- -
94,Other Financing Activites,1600000,-700000,- -,-800000,-1200000,1700000,37356225,14256000,5991000,-1031000,-820000,-2999000,-1150000,-1363000,- -,- -,- -,2490000,950000,9000000,- -,12780000,-173000,130000,203000,-1000000,317000,- -
95,Cash Used/Provided by Financing Activities,13100000,12700000,15000000,-500000,12900000,7800000,37356225,17315000,10005000,19997000,28970000,-2971000,3752000,24632000,-259000,- -,- -,2490000,950000,27002000,- -,12780000,7209000,8671000,12451000,8975000,23210000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41000,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,-2500000,- -,2200000,34529418,-13444000,-12580000,8451000,13039000,-19974000,-7916000,10236000,-11226000,- -,- -,-2280000,-234000,19493000,-13774000,2789000,-3659000,-579000,3025000,-3730000,4116000,- -
98,Cash at the End of Period,- -,- -,- -,1000000,- -,4100000,38630216,25186000,12606000,21057000,34096000,14122000,6206000,16442000,5216000,- -,- -,2790000,862000,20355000,6581000,9370000,5711000,5132000,8157000,6733000,10849000,- -
99,Cash at the Beginning of Period,1200000,2300000,2200000,3500000,1000000,1900000,4100798,38630000,25186000,12606000,21057000,34096000,14122000,6206000,16442000,- -,- -,5070000,1096000,862000,20355000,6581000,9370000,5711000,5132000,10463000,6733000,10849000
100,Free Cash Flow,-8100000,-9800000,-11900000,-13200000,-6000000,-12500000,-3402523,-27954000,-20659000,-11546000,-15931000,-17060000,-11717000,-14436000,-11043000,- -,- -,-4780000,-4334000,-7550000,-13774000,-9991000,-10868000,-9250000,-9426000,-15806000,-19094000,- -
