,https://roic.ai/company/LOGI,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,325701000,410908000,452663000,407923000,542355000,723221000,709400000,15038000,605700000,576700000,391300000,478200000,557113000,511317000,520767000,597380000,-8800000,700334000,1477468000
82,Other Non-Cash Items,1200000,-2000000,15800000,-4300000,-17169000,-55658000,6245000,-309618000,-91642000,-6121000,-13799000,-90879000,-65897000,41105000,-3394000,-326403000,49474000,426248000,-43235000,12706000,22642000,-20579000,-47075000,-1046000,-61208000,-468826000
83,Cash Provided by Operating Activities,8800000,27500000,43500000,16800000,32866000,12043000,112595000,145108000,166460000,213674000,152217000,303825000,393079000,200587000,365259000,156551000,196142000,116990000,205421000,178632000,183111000,278728000,346261000,305181000,425000000,1458638000
84,CAPEX,-12300000,-18100000,-13000000,-24800000,-17872000,-16824000,-21941000,-28657000,-24718000,-40541000,-54102000,-47246000,-57900000,-48263000,-39834000,-43039000,-47807000,-46945000,-46658000,-45253000,-56615000,-31804000,-39748000,-35930000,-39484000,-76189000
85,Acquisitions Net,- -,- -,- -,- -,-4219000,-47696000,-6822000,1985000,-15490000,-30494000,860000,-20524000,-59722000,-64430000,-388809000,1787000,-18814000,- -,-650000,-926000,- -,-66987000,-88323000,-133814000,-91569000,-43523000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-416475000,-379793000,-427000,- -,-19075000,-7505000,-8616000,-8750000,-7584000,-12038000,-8012000,-14082000,-9425000,-12309000,-16451000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,1767000,4249000,2072000,- -,- -,- -,214724000,551787000,- -,813000,6470000,13949000,5380000,9255000,5474000,10073000,7124000,13449000,5824000,12091000,16181000
88,Other Investing Activites,17700000,300000,5100000,-40000000,2150000,3637000,- -,- -,- -,- -,-1464000,-537000,-1151000,- -,- -,13996000,8967000,- -,- -,- -,-2110000,715000,- -,- -,1037000,- -
89,Cash Used for Investing Activites,5400000,-17800000,-7900000,-64800000,-19941000,-59116000,-24514000,-24600000,-40208000,-71035000,-54706000,-270058000,53221000,-113120000,-427830000,-39861000,-51210000,-50181000,-46803000,-48289000,-60690000,-98964000,-128704000,-173345000,-130234000,-119982000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13630000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,3400000,37100000,11900000,4200000,- -,11049000,16389000,15629000,31404000,45985000,49206000,44706000,50603000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
